Person ID,Array of movements,Initial Infection,Results
1,"[(11, 12), (10, 13), (10, 14), (10, 14), (9, 15), (9, 16), (10, 16), (9, 15), (10, 16), (10, 15), (9, 15), (9, 16), (9, 17), (10, 18), (11, 18), (10, 18), (11, 19), (11, 18), (12, 17), (11, 16), (12, 17), (11, 16), (11, 17), (11, 16), (10, 15), (11, 16), (12, 17), (12, 17), (13, 16), (12, 16), (13, 17), (12, 18), (12, 17), (12, 17), (11, 18), (12, 17), (11, 18), (10, 19), (10, 18), (9, 19), (8, 18), (7, 18), (8, 17), (7, 16), (8, 16), (7, 16), (7, 17), (7, 16), (7, 17), (7, 16), (6, 17), (6, 17), (5, 17), (4, 18), (3, 18), (4, 17), (3, 17), (4, 18), (5, 19), (6, 18), (7, 19), (8, 19), (9, 18), (9, 19), (9, 20), (10, 19), (10, 19), (10, 19), (9, 19), (8, 20), (8, 20), (7, 20), (8, 20), (9, 21), (8, 22), (7, 22)]",0,1
2,"[(4, 30), (5, 29), (6, 30), (5, 31), (6, 30), (6, 31), (6, 30), (7, 30), (6, 29), (5, 28), (5, 29), (6, 28), (6, 28), (6, 27), (5, 26), (5, 27), (5, 27), (6, 26), (7, 27), (6, 27), (7, 28), (8, 29), (8, 28), (8, 29), (9, 29), (10, 30), (9, 30), (10, 30), (9, 29), (8, 28), (9, 28), (9, 29), (8, 28), (8, 27), (9, 28), (9, 29), (10, 28), (10, 29), (9, 29), (9, 28), (8, 27), (7, 26), (7, 25), (8, 24), (9, 24), (9, 24), (8, 25), (8, 26), (7, 25), (6, 24), (6, 24), (6, 25), (5, 24), (5, 25), (4, 24), (4, 25), (4, 25), (4, 26), (3, 26), (2, 25), (3, 25), (3, 26), (3, 27), (3, 28), (2, 29), (1, 28), (0, 28), (0, 29), (1, 30), (2, 30), (2, 29), (2, 30), (3, 31), (2, 30), (3, 30), (3, 31)]",1,5
3,"[(40, 3), (40, 2), (39, 3), (38, 2), (38, 3), (39, 3), (39, 3), (38, 3), (38, 3), (38, 2), (39, 3), (38, 3), (39, 3), (38, 3), (39, 3), (40, 3), (41, 4), (40, 4), (39, 5), (40, 6), (39, 6), (40, 7), (40, 6), (40, 7), (39, 7), (39, 8), (40, 9), (41, 8), (41, 7), (42, 8), (42, 7), (43, 8), (43, 9), (43, 10), (44, 9), (44, 8), (44, 9), (44, 10), (44, 10), (43, 9), (43, 10), (42, 9), (41, 9), (41, 10), (42, 11), (41, 12), (41, 11), (40, 10), (41, 11), (40, 11), (41, 12), (40, 11), (39, 11), (38, 11), (37, 10), (37, 11), (37, 11), (38, 10), (37, 11), (36, 12), (35, 12), (36, 13), (35, 14), (36, 14), (35, 15), (35, 15), (35, 14), (34, 15), (33, 15), (33, 14), (32, 13), (32, 12), (31, 13), (32, 12), (32, 11), (32, 10)]",0,1
4,"[(33, 21), (32, 22), (33, 23), (33, 22), (32, 22), (33, 22), (32, 21), (31, 22), (32, 23), (33, 22), (32, 23), (33, 24), (33, 25), (32, 26), (32, 27), (33, 26), (34, 27), (34, 26), (33, 27), (32, 26), (33, 25), (33, 26), (34, 26), (34, 25), (35, 26), (34, 27), (35, 26), (35, 25), (35, 26), (36, 27), (36, 27), (37, 26), (37, 27), (38, 27), (37, 26), (38, 26), (37, 25), (38, 26), (38, 25), (39, 24), (40, 24), (41, 25), (41, 24), (41, 25), (41, 26), (40, 25), (41, 25), (40, 25), (41, 25), (42, 24), (43, 25), (42, 24), (41, 23), (40, 23), (39, 24), (39, 23), (40, 23), (40, 24), (39, 24), (40, 25), (39, 25), (39, 26), (40, 26), (41, 26), (41, 27), (42, 28), (42, 29), (43, 30), (42, 31), (42, 32), (43, 33), (43, 32), (43, 32), (43, 33), (44, 34), (43, 33)]",0,1
5,"[(49, 12), (48, 12), (49, 13), (48, 13), (47, 13), (47, 13), (48, 13), (48, 12), (47, 12), (46, 11), (46, 11), (45, 11), (44, 12), (44, 13), (44, 13), (45, 12), (44, 13), (44, 12), (43, 11), (44, 11), (45, 12), (46, 12), (47, 12), (48, 13), (49, 14), (49, 14), (49, 13), (49, 13), (48, 12), (47, 11), (48, 10), (47, 10), (47, 10), (47, 10), (47, 10), (48, 9), (48, 9), (47, 9), (46, 9), (46, 8), (47, 9), (47, 9), (46, 9), (47, 8), (47, 8), (47, 9), (46, 10), (47, 10), (48, 10), (48, 9), (47, 8), (48, 7), (49, 7), (48, 8), (48, 8), (47, 8), (47, 9), (46, 9), (46, 10), (45, 9), (44, 9), (43, 9), (44, 9), (45, 9), (44, 9), (43, 8), (44, 8), (43, 7), (43, 8), (42, 9), (41, 9), (42, 9), (42, 9), (43, 10), (42, 9), (41, 8)]",0,1
6,"[(6, 3), (7, 4), (8, 5), (8, 5), (7, 4), (6, 4), (6, 5), (5, 6), (6, 6), (5, 5), (4, 5), (4, 4), (5, 3), (4, 3), (3, 4), (3, 4), (4, 4), (4, 3), (5, 2), (5, 3), (5, 4), (4, 3), (4, 3), (3, 4), (4, 5), (4, 5), (3, 6), (3, 5), (3, 4), (4, 5), (3, 6), (2, 7), (2, 6), (2, 5), (1, 5), (1, 6), (2, 6), (1, 5), (2, 4), (2, 4), (3, 5), (4, 4), (3, 3), (3, 2), (2, 1), (3, 0), (2, 0), (1, 0), (2, 0), (2, 0), (2, 0), (3, 0), (3, 0), (2, 0), (2, 0), (2, 0), (2, 1), (1, 1), (1, 0), (0, 0), (0, 1), (1, 1), (2, 0), (3, 0), (4, 0), (5, 1), (6, 0), (7, 1), (6, 0), (7, 0), (8, 0), (8, 0), (7, 1), (6, 0), (7, 1), (8, 1)]",0,1
7,"[(4, 30), (4, 30), (5, 31), (6, 32), (7, 31), (6, 31), (5, 31), (6, 30), (7, 30), (8, 30), (9, 29), (10, 29), (10, 28), (9, 28), (10, 27), (10, 28), (9, 29), (10, 29), (11, 29), (10, 30), (10, 31), (10, 32), (11, 32), (10, 32), (11, 32), (10, 33), (10, 34), (10, 33), (9, 33), (10, 32), (10, 33), (9, 32), (10, 32), (11, 31), (12, 31), (11, 32), (10, 32), (10, 31), (11, 32), (12, 32), (11, 32), (10, 31), (10, 31), (11, 30), (12, 29), (13, 29), (13, 30), (13, 31), (12, 32), (12, 32), (13, 31), (12, 30), (11, 30), (12, 31), (11, 32), (11, 31), (11, 32), (10, 32), (10, 31), (10, 32), (11, 32), (10, 31), (10, 30), (9, 30), (9, 30), (9, 31), (10, 30), (11, 31), (10, 32), (11, 33), (11, 32), (12, 32), (11, 33), (12, 34), (11, 34), (11, 35)]",0,3
8,"[(39, 46), (39, 46), (40, 47), (40, 48), (39, 47), (40, 47), (40, 46), (39, 45), (39, 44), (38, 45), (37, 44), (36, 45), (37, 46), (38, 46), (38, 47), (37, 47), (38, 47), (39, 47), (39, 46), (38, 45), (39, 45), (40, 45), (40, 46), (39, 45), (38, 45), (38, 44), (37, 44), (36, 44), (35, 44), (34, 44), (35, 44), (34, 43), (33, 42), (32, 42), (31, 41), (30, 40), (29, 40), (30, 40), (29, 39), (30, 39), (29, 40), (29, 39), (29, 39), (30, 40), (30, 39), (30, 40), (31, 41), (30, 42), (31, 41), (31, 40), (31, 39), (31, 38), (32, 37), (31, 38), (32, 39), (32, 40), (31, 39), (30, 39), (31, 40), (32, 40), (31, 39), (30, 39), (29, 38), (29, 37), (28, 38), (28, 39), (29, 38), (29, 37), (30, 38), (31, 39), (30, 38), (30, 38), (29, 38), (29, 37), (28, 37), (27, 37)]",0,1
9,"[(35, 27), (35, 26), (35, 25), (35, 25), (35, 24), (35, 23), (36, 22), (35, 23), (36, 23), (36, 23), (35, 22), (35, 22), (34, 22), (34, 23), (33, 24), (32, 23), (32, 22), (31, 23), (32, 23), (33, 24), (34, 23), (33, 22), (34, 21), (33, 22), (33, 23), (33, 24), (34, 23), (33, 24), (33, 23), (34, 23), (35, 23), (36, 23), (37, 23), (38, 23), (38, 22), (38, 21), (37, 20), (37, 19), (37, 20), (36, 20), (36, 20), (37, 19), (38, 18), (38, 18), (39, 19), (38, 19), (39, 18), (39, 18), (39, 17), (38, 17), (39, 17), (40, 16), (40, 15), (39, 16), (40, 17), (40, 16), (39, 15), (40, 14), (41, 15), (42, 16), (42, 15), (42, 14), (43, 15), (42, 16), (43, 16), (43, 16), (42, 17), (42, 17), (41, 17), (40, 16), (39, 15), (39, 16), (40, 16), (39, 16), (39, 17), (39, 16)]",0,1
10,"[(12, 44), (13, 43), (13, 43), (12, 43), (13, 43), (12, 43), (13, 43), (14, 44), (14, 43), (15, 42), (15, 42), (16, 41), (17, 40), (16, 41), (17, 42), (17, 41), (16, 41), (17, 41), (16, 41), (17, 42), (17, 42), (16, 42), (15, 42), (14, 42), (13, 42), (12, 41), (13, 40), (12, 40), (12, 40), (12, 40), (12, 40), (11, 40), (10, 41), (9, 40), (8, 40), (9, 41), (10, 40), (9, 39), (8, 38), (7, 37), (6, 38), (7, 37), (6, 36), (6, 35), (6, 36), (7, 36), (7, 36), (6, 37), (5, 37), (6, 37), (6, 37), (7, 37), (7, 36), (6, 36), (7, 36), (6, 36), (5, 37), (5, 36), (5, 35), (5, 36), (4, 35), (3, 34), (4, 34), (5, 33), (6, 33), (6, 32), (7, 31), (8, 31), (8, 32), (7, 31), (6, 31), (7, 30), (6, 30), (5, 30), (6, 31), (7, 31)]",0,3
